code;url;product_name
000000001011;http://world-en.openfoodfacts.org/product/000000001011/fromage-blanc-fermier-de-chevre-au-lait-entier;Fromage blanc fermier de chèvre au lait entier
0000000010115;http://world-en.openfoodfacts.org/product/0000000010115/pain-fit-n-fiz;Pain fit n fiz
0000000010900;http://world-en.openfoodfacts.org/product/0000000010900/salade-fusili-poulet-curry;Salade fusili poulet curry
0000000011150;http://world-en.openfoodfacts.org/product/0000000011150/baguette-lyonnais-petit-prix;Baguette Lyonnais &quot;Petit prix&quot;
000000001124;http://world-en.openfoodfacts.org/product/000000001124/galettes-bretonnes-300gr-biscuiterie-le-phare;Galettes Bretonnes 300gr - Biscuiterie &quot;le phare&quot;
0000000011631;http://world-en.openfoodfacts.org/product/0000000011631/pasta-box-carbonara;Pasta box carbonara
0000000011686;http://world-en.openfoodfacts.org/product/0000000011686/pasta-box-jambon-champignion;Pasta box jambon champignion
0000000012249;http://world-en.openfoodfacts.org/product/0000000012249/salade-grecque;Salade Grecque
0000000012256;http://world-en.openfoodfacts.org/product/0000000012256/salade-penne-pesto;Salade penne pesto
0000000012263;http://world-en.openfoodfacts.org/product/0000000012263/baguette-poitevin;Baguette Poitevin
000000001231;http://world-en.openfoodfacts.org/product/000000001231/rillettes-de-sanglier-au-chouchen;Rillettes de sanglier au Chouchen
0000000012775;http://world-en.openfoodfacts.org/product/0000000012775/bagel-boston;Bagel Boston
0000000012812;http://world-en.openfoodfacts.org/product/0000000012812/tarte-chocolat;Tarte chocolat
000094012798;http://world-en.openfoodfacts.org/product/0000094012798/pave-multicereales;Pavé Multicéréales
0000096168523;http://world-en.openfoodfacts.org/product/0000096168523/buche-la-foret-noire;Bûche la forêt noire
0000099012465;http://world-en.openfoodfacts.org/product/0000099012465/pain-aux-2-lins;Pain aux 2 lins
0000099015091;http://world-en.openfoodfacts.org/product/0000099015091/pain-aux-2-lins;Pain aux 2 lins
000010;http://world-en.openfoodfacts.org/product/000010/madeleines-nature-bijou;Madeleines nature
0000101209159;http://world-en.openfoodfacts.org/product/0000101209159/veritable-pate-a-tartiner-noisettes-chocolat-noir-bovetti;Véritable pâte à tartiner noisettes chocolat noir
0000102072165;http://world-en.openfoodfacts.org/product/0000102072165/poutargue-de-mulet;Poutargue de mulet
